pair_id,is_duplicate
81779,1
266887,1
348793,0
218454,1
167686,0
90544,0
134166,0
215425,0
12638,1
311754,0
324843,0
239141,0
71441,0
79396,1
304082,0
140719,0
365126,0
261090,1
176880,0
179735,1
176362,0
34963,0
117849,0
48488,0
20823,0
308634,0
290570,0
12215,1
237016,1
287100,1
145642,0
99571,0
74698,0
255243,0
10114,1
232617,1
135878,0
276674,0
252956,0
286932,1
281759,1
367047,0
230742,0
205945,0
315697,0
336350,1
172082,1
277194,0
23778,0
235661,1
308659,1
246582,1
202950,0
97865,1
36885,0
361160,0
287096,1
215622,1
348394,0
70857,1
31108,1
348410,1
68062,1
3335,0
88444,0
256111,0
364737,0
238783,0
60928,0
58390,1
228063,0
220219,1
265550,0
315718,0
348566,0
163416,0
379868,0
187679,1
311733,1
108172,0
230345,0
174348,0
168754,0
149707,0
383225,0
191438,0
29393,0
379175,1
70386,0
208336,0
107753,1
87219,0
104489,0
108110,1
66749,0
279892,0
250044,0
199258,1
254698,0
58407,1
7571,1
182799,1
50892,0
239449,1
397047,1
394708,0
343554,1
402455,1
365573,0
103032,0
37962,1
223476,1
184384,1
298201,0
286425,0
357577,0
178858,1
401647,0
339465,0
230020,1
165523,0
375009,0
83588,1
144990,0
219459,0
109230,0
148174,1
84792,1
227057,1
275556,0
280138,0
326511,1
185495,0
255318,1
381172,1
168132,0
240976,1
62729,0
334782,0
86209,0
191654,1
251146,0
235265,0
348299,0
163667,1
123509,1
252170,0
63203,0
164570,1
39367,0
315342,1
23866,0
306440,1
72487,1
255043,1
120333,1
139462,0
49051,0
54838,0
243218,0
274802,0
249067,1
113319,0
325768,1
243227,1
340281,0
161246,0
333161,1
335822,0
143990,0
259007,0
339613,1
187087,1
93821,0
40673,0
11628,1
282023,0
346689,1
287575,1
139894,0
280723,0
271319,1
248723,0
149280,1
130217,0
50158,1
64551,0
243312,1
1672,1
302259,0
311381,0
290296,0
216551,0
319855,1
233851,0
301442,0
353989,1
43666,0
120955,0
154407,1
29517,0
308152,0
93403,1
228607,1
183190,0
257885,0
371303,0
252898,1
16876,1
291575,0
154058,0
350402,1
253549,0
1848,0
282994,0
394376,0
287854,1
65321,1
393579,0
404004,1
242793,0
184161,0
12551,0
230879,0
29993,1
5090,0
398396,0
188163,0
204161,0
335469,0
266613,0
63319,1
326956,0
131832,1
278251,0
118701,1
249588,0
224465,0
172217,0
161152,0
377125,1
138531,0
342726,0
235725,0
234653,1
176103,0
340174,0
377395,1
213942,0
373020,1
270451,0
219304,0
396642,0
215408,1
25612,0
196556,1
169187,0
304960,0
386976,0
211465,0
149066,1
403901,1
154743,1
255893,1
104295,0
233855,0
94581,0
383521,0
92661,1
297745,0
379258,0
198651,1
251185,1
65643,1
368056,1
161981,1
257681,1
271143,0
373496,1
303797,1
170643,0
362776,0
381478,0
212005,0
10705,1
404111,0
204777,0
